City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Khatanga,RU,2022-02-06 16:38:32,71.9667,102.5,-22.45,99,95,7.67
93,Saldanha,ZA,2022-02-06 16:40:17,-33.0117,17.9442,73.45,92,43,11.32
94,Port Elizabeth,ZA,2022-02-06 16:40:18,-33.918,25.5701,80.1,83,20,18.41
95,Castro,BR,2022-02-06 16:40:18,-24.7911,-50.0119,77.34,69,76,8.86
96,Bambanglipuro,ID,2022-02-06 16:40:19,-7.95,110.2833,76.35,94,100,2.62
97,Iisalmi,FI,2022-02-06 16:40:19,63.5592,27.1907,30.22,94,100,13.58
98,Pacific Grove,US,2022-02-06 16:40:20,36.6177,-121.9166,57.58,64,0,1.01
99,Amur,RU,2022-02-06 16:40:20,54.0,128.0,-8.72,96,100,1.25
100,Khairpur Nathan Shah,PK,2022-02-06 16:40:21,27.0936,67.7337,64.45,25,7,3.0
101,Pouebo,NC,2022-02-06 16:40:22,-20.4,164.5667,77.29,87,100,4.83
102,Tual,ID,2022-02-06 16:40:22,-5.6667,132.75,82.85,76,100,6.73
103,Georgetown,MY,2022-02-06 16:38:27,5.4112,100.3354,76.98,94,40,0.0
104,Sechura,PE,2022-02-06 16:40:23,-5.5569,-80.8222,81.46,56,87,8.7
105,Kirakira,SB,2022-02-06 16:40:23,-10.4544,161.9205,80.89,86,100,6.93
106,Hobart,AU,2022-02-06 16:40:18,-42.8794,147.3294,55.06,83,28,1.01
107,Mackay,AU,2022-02-06 16:40:24,-21.15,149.2,78.78,69,77,23.02
108,Hovd,MN,2022-02-06 16:40:25,48.0056,91.6419,-12.96,77,10,3.29
109,Sinjar,IQ,2022-02-06 16:40:25,36.3209,41.8754,46.0,45,69,2.98
110,Kambove,CD,2022-02-06 16:40:26,-10.8764,26.5969,63.57,94,98,3.29
111,Bethel,US,2022-02-06 16:40:26,41.3712,-73.414,26.49,53,0,1.01
112,Aykhal,RU,2022-02-06 16:40:27,66.0,111.5,-17.59,98,100,5.21
113,Butaritari,KI,2022-02-06 16:40:27,3.0707,172.7902,81.19,78,51,15.12
114,Talaya,RU,2022-02-06 16:40:28,61.3833,152.75,-35.3,87,5,2.73
115,Gat,IL,2022-02-06 16:39:46,31.61,34.7642,56.08,82,37,4.83
116,Beringovskiy,RU,2022-02-06 16:40:29,63.05,179.3167,-17.1,98,18,8.97
117,Kavieng,PG,2022-02-06 16:40:30,-2.5744,150.7967,81.41,78,100,4.12
118,Fuyang,CN,2022-02-06 16:40:30,32.9,115.8167,31.44,90,100,6.51
119,Waipawa,NZ,2022-02-06 16:40:31,-41.4122,175.5153,57.83,81,100,12.12
120,Luwuk,ID,2022-02-06 16:40:31,-0.9516,122.7875,76.82,84,91,3.0
121,Tarakan,ID,2022-02-06 16:40:32,3.3,117.6333,78.49,80,98,6.02
122,Sorong,ID,2022-02-06 16:40:32,-0.8833,131.25,80.76,78,100,13.76
123,Mount Gambier,AU,2022-02-06 16:36:56,-37.8333,140.7667,64.31,63,1,6.91
124,Andenes,NO,2022-02-06 16:40:33,69.3143,16.1194,30.18,69,0,5.75
125,Loviisa,FI,2022-02-06 16:40:34,60.4566,26.2251,33.46,98,100,12.71
126,Port Alfred,ZA,2022-02-06 16:39:29,-33.5906,26.891,76.17,81,0,30.58
127,Kahului,US,2022-02-06 16:40:34,20.8947,-156.47,72.84,82,0,10.36
128,Talnakh,RU,2022-02-06 16:40:35,69.4865,88.3972,-27.08,98,56,1.43
129,Marystown,CA,2022-02-06 16:40:35,47.1666,-55.1483,22.86,100,100,8.99
130,Karabulak,RU,2022-02-06 16:40:36,43.3036,44.8964,32.99,56,98,5.55
131,Lebu,CL,2022-02-06 16:40:36,-37.6167,-73.65,67.19,61,0,13.6
132,Tiksi,RU,2022-02-06 16:40:37,71.6872,128.8694,-17.07,99,100,3.56
133,Riyadh,SA,2022-02-06 16:39:19,24.6877,46.7219,59.14,34,0,9.66
134,Tasiilaq,GL,2022-02-06 16:37:11,65.6145,-37.6368,23.16,60,100,26.24
135,Victoria,HK,2022-02-06 16:37:40,22.2855,114.1577,62.26,82,100,7.0
136,Shiyan,CN,2022-02-06 16:39:10,32.6475,110.7781,32.32,89,100,5.21
137,Raudeberg,NO,2022-02-06 16:41:38,61.9875,5.1352,35.87,90,100,1.99
138,Thompson,CA,2022-02-06 16:41:39,55.7435,-97.8558,-32.64,68,20,2.3
139,Touros,BR,2022-02-06 16:37:16,-5.1989,-35.4608,90.5,54,15,12.91
140,Daru,PG,2022-02-06 16:41:40,-9.0763,143.2092,79.21,84,99,4.83
141,Ancud,CL,2022-02-06 16:41:40,-41.8697,-73.8203,76.23,69,10,6.53
142,Hondo,JP,2022-02-06 16:41:41,32.45,130.2,38.95,56,44,5.14
143,Hermanus,ZA,2022-02-06 16:39:55,-34.4187,19.2345,78.91,79,7,9.53
144,Green River,US,2022-02-06 16:41:41,41.5286,-109.4662,28.15,72,38,1.01
145,Horta,PT,2022-02-06 16:41:42,38.5333,-28.6333,64.04,77,40,17.27
146,Yantal,RU,2022-02-06 16:41:43,56.8471,105.2542,12.47,95,100,5.35
147,Torbay,CA,2022-02-06 16:41:43,47.6666,-52.7314,18.57,84,75,16.11
148,Potchefstroom,ZA,2022-02-06 16:41:44,-26.7167,27.1,69.6,59,80,3.42
149,Port Keats,AU,2022-02-06 16:41:44,-14.25,129.55,79.05,84,92,3.53
150,Saint-Philippe,RE,2022-02-06 16:41:45,-21.3585,55.7679,80.19,81,99,15.7
151,Cherskiy,RU,2022-02-06 16:41:45,68.75,161.3,-30.3,100,33,2.1
152,Oranjestad,AW,2022-02-06 16:41:46,12.524,-70.027,84.15,61,20,17.27
153,Nemuro,JP,2022-02-06 16:41:46,43.3236,145.575,22.84,74,60,18.48
154,Waitara,NZ,2022-02-06 16:41:47,-38.925,174.25,64.22,78,100,15.95
155,Souillac,MU,2022-02-06 16:41:48,-20.5167,57.5167,80.98,83,75,9.22
156,Rybnoye,RU,2022-02-06 16:41:48,54.7256,39.5119,15.75,98,94,3.6
157,Faanui,PF,2022-02-06 16:41:49,-16.4833,-151.75,81.63,75,96,20.92
158,Vanimo,PG,2022-02-06 16:41:49,-2.6741,141.3028,77.97,87,86,4.74
159,Korla,CN,2022-02-06 16:39:12,41.7597,86.1469,24.51,46,9,4.52
160,Beaufort,MY,2022-02-06 16:41:50,5.3473,115.7455,80.76,93,97,3.87
161,Lompoc,US,2022-02-06 16:41:50,34.6391,-120.4579,71.13,75,0,6.91
162,Teknaf,BD,2022-02-06 16:41:51,20.8624,92.3058,60.08,64,100,11.05
163,Galesong,ID,2022-02-06 16:41:52,-5.3166,119.3661,77.02,85,51,5.7
164,Soe,ID,2022-02-06 16:41:52,-9.8607,124.284,67.05,93,58,3.29
165,Colorado Springs,US,2022-02-06 16:38:48,38.8339,-104.8214,33.69,61,0,5.01
166,Marsh Harbour,BS,2022-02-06 16:41:53,26.5412,-77.0636,74.82,72,97,12.06
167,Tutoia,BR,2022-02-06 16:41:54,-2.7619,-42.2744,87.78,71,58,12.73
168,Angoche,MZ,2022-02-06 16:41:54,-16.2325,39.9086,78.94,81,88,7.61
169,Poronaysk,RU,2022-02-06 16:41:55,49.2167,143.1167,2.77,86,85,9.01
170,Nouakchott,MR,2022-02-06 16:41:56,18.0858,-15.9785,87.73,44,0,14.09
171,Vardo,NO,2022-02-06 16:41:56,70.3705,31.1107,25.0,80,75,27.63
