City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Coahuayana,MX,18.7333,-103.6833,67.32,90,0,3.91,clear sky
112,Tiarei,PF,-17.5333,-149.3333,84.0,78,95,20.04,light rain
113,Torbay,CA,47.6666,-52.7314,34.75,94,100,26.46,light snow
114,Adrar,MR,20.5022,-10.0711,62.1,13,100,11.16,overcast clouds
115,Estelle,US,29.8458,-90.1067,48.18,72,0,2.84,clear sky
116,Alofi,NU,-19.0595,-169.9187,75.09,94,100,8.05,overcast clouds
117,Hit,IQ,33.6416,42.8251,56.12,46,27,11.21,scattered clouds
118,Promyshlennaya,RU,54.9159,85.6385,3.56,86,16,10.36,few clouds
119,Sindor,RU,62.8629,51.8905,7.63,94,100,9.64,overcast clouds
120,Carnarvon,AU,-24.8667,113.6333,84.27,61,0,19.57,clear sky
121,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,75,11.5,broken clouds
122,Puerto Ayora,EC,-0.7393,-90.3518,71.98,87,22,3.67,few clouds
123,Keti Bandar,PK,24.1447,67.4497,74.68,47,0,7.76,clear sky
124,Igrim,RU,63.1906,64.4162,1.78,96,49,6.26,scattered clouds
125,Valdivia,CL,-39.8142,-73.2459,55.49,78,1,2.93,clear sky
126,Ixtapa,MX,20.7,-105.2,67.23,87,0,1.01,clear sky
127,Phuket,TH,8.0,98.25,88.02,66,40,9.22,scattered clouds
128,Sitka,US,57.0531,-135.33,42.69,87,100,9.22,overcast clouds
129,Belyy Yar,RU,53.6039,91.3903,1.29,78,0,6.71,clear sky
130,Ferrol,ES,43.4832,-8.2369,50.72,72,0,7.18,clear sky
131,Baikunthpur,IN,23.25,82.55,72.36,26,64,6.26,broken clouds
132,Hastings,GB,50.8552,0.5729,49.78,88,100,17.74,overcast clouds
133,Puerto Escondido,MX,15.85,-97.0667,74.17,80,8,5.06,clear sky
134,Port Hedland,AU,-20.3167,118.5667,89.65,66,40,13.8,scattered clouds
135,Souillac,MU,-20.5167,57.5167,83.35,69,40,9.22,scattered clouds
136,Coari,BR,-4.085,-63.1414,72.72,99,100,2.93,light rain
137,Lawrenceburg,US,38.0373,-84.8966,43.3,57,0,1.99,clear sky
138,Umm Kaddadah,SD,13.6017,26.6876,63.39,19,3,13.24,clear sky
139,Georgetown,MY,5.4112,100.3354,89.53,74,40,5.99,scattered clouds
140,Meulaboh,ID,4.1363,96.1285,77.29,88,95,7.25,overcast clouds
141,Hasaki,JP,35.7333,140.8333,48.6,54,77,12.15,broken clouds
142,Kloulklubed,PW,7.0419,134.2556,84.7,81,100,15.79,overcast clouds
143,Camacha,PT,33.0833,-16.3333,66.96,82,20,11.5,few clouds
144,Moroto,UG,2.5345,34.6666,74.88,32,75,10.29,broken clouds
145,Faanui,PF,-16.4833,-151.75,81.07,77,28,15.97,scattered clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,63.09,87,0,8.01,clear sky
147,Celestun,MX,20.8667,-90.4,70.38,71,100,13.33,overcast clouds
148,Vestmannaeyjar,IS,63.4427,-20.2734,32.97,75,69,13.91,light snow
149,Concordia,AR,-31.393,-58.0209,63.79,75,0,7.54,clear sky
150,Upernavik,GL,72.7868,-56.1549,-17.25,81,49,7.72,scattered clouds
151,Katsuura,JP,35.1333,140.3,50.02,58,81,13.02,broken clouds
152,Yaring,TH,6.8662,101.3689,84.24,65,78,14.5,broken clouds
153,Cidreira,BR,-30.1811,-50.2056,67.93,77,7,1.5,clear sky
154,Dikson,RU,73.5069,80.5464,0.0,94,100,22.79,overcast clouds
155,Port Lincoln,AU,-34.7333,135.8667,70.18,58,55,15.01,broken clouds
156,Longhua,CN,23.6137,114.1919,61.81,72,92,3.96,overcast clouds
157,Zwedru,LR,6.0667,-8.1281,69.39,99,30,0.38,scattered clouds
