City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Bubaque,GW,77.14,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
173,Ahipara,NZ,77.04,clear sky,-35.1667,173.1667,Ahipara Holiday Park
179,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
187,Kiunga,PG,87.93,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
202,Poum,NC,81.32,overcast clouds,-20.2333,164.0167,
203,Wajir,KE,78.76,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
204,Thinadhoo,MV,83.35,overcast clouds,0.5333,72.9333,
206,Omboue,GA,76.12,moderate rain,-1.5746,9.2618,Hotel Olako
210,Port Macquarie,AU,83.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
211,Mana,GF,75.74,scattered clouds,5.6592,-53.7767,LE SAMANA
215,Dingle,PH,82.94,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
216,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
231,Dibulla,CO,75.16,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
235,Vao,NC,81.09,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
241,Vaitape,PF,81.1,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
247,Kaeo,NZ,76.32,few clouds,-35.1,173.7833,Bushido Lodge
261,Yenagoa,NG,75.58,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
266,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
275,Ulundi,ZA,77.58,clear sky,-28.3352,31.4162,Ekhethelo Lodge Ulundi
278,Samarai,PG,82.89,broken clouds,-10.6167,150.6667,Nuli Sapi
282,Whyalla,AU,75.09,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
285,Namatanai,PG,84.09,light rain,-3.6667,152.4333,Seagulls Inn Namatani
289,Malakal,SS,79.48,broken clouds,9.5334,31.6605,Nile Palace Hotel
290,Ray,IN,75.97,clear sky,23.6833,85.05,Bablu Cake Corner
292,Luwuk,ID,84.96,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
298,Kokopo,PG,84.83,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
303,Guatire,VE,75.2,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
304,Quatre Cocos,MU,83.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
305,Kavaratti,IN,78.58,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
318,Port-Gentil,GA,76.96,thunderstorm with rain,-0.7193,8.7815,Fengshui Residence
327,Simplicio Mendes,BR,76.6,overcast clouds,-7.8539,-41.9103,Fidalgo
328,Porto Velho,BR,75.25,light intensity drizzle,-8.7619,-63.9039,Hotel Central
339,Le Port,RE,84.2,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
349,Ngunguru,NZ,76.15,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
352,Baculin,PH,78.53,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
356,Avanigadda,IN,84.34,broken clouds,16.0215,80.9181,AP Camping
357,Karimnagar,IN,83.01,scattered clouds,18.4333,79.15,Sravanthi palace
364,Bhadravati,IN,85.39,overcast clouds,13.8667,75.7167,OYO 24245 Dv Residency
365,Maragogi,BR,77.32,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
367,Champerico,GT,78.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
368,Bowen,AU,82.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
370,Kudahuvadhoo,MV,82.65,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
372,Sawtell,AU,84.52,few clouds,-30.3833,153.1,The Bungalow Sawtell
373,Nosy Varika,MG,80.74,light rain,-20.5833,48.5333,Hotel Volazara
380,Hobyo,SO,79.66,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
382,Dabhol,IN,78.31,few clouds,17.6,73.1667,Ashwamedh Resort
383,Razole,IN,79.09,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
385,Mahanoro,MG,82.54,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
391,The Valley,AI,76.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
392,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
395,Kandrian,PG,86.47,light rain,-6.2167,149.55,Kandrian Station
399,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
400,Saint-Paul,RE,84.31,overcast clouds,-21.0096,55.2707,Boucan Canot
403,Martapura,ID,78.89,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
410,Beloha,MG,81.55,broken clouds,-25.1667,45.05,
412,Indramayu,ID,84.27,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
413,Vondrozo,MG,79.27,scattered clouds,-22.8167,47.2833,
415,Trenggalek,ID,87.96,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
421,Bambanglipuro,ID,85.26,overcast clouds,-7.95,110.2833,Puri Brata
430,Harper,LR,77.86,light rain,4.375,-7.7169,Screensaver
432,Pekan,MY,80.71,moderate rain,3.4836,103.3996,Pekan Budget Hotel
437,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
442,Grand Gaube,MU,83.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
443,Isangel,VU,78.91,heavy intensity rain,-19.55,169.2667,Tanna Lodge
444,Pemangkat,ID,82.72,overcast clouds,1.1667,108.9667,Ramah Kost KITA
445,Buluang,PH,86.54,overcast clouds,13.3068,123.3425,Enon Beach Resort
447,Lunavada,IN,77.25,scattered clouds,23.1333,73.6167,Arunoday Hotel & Guest House
453,Collie,AU,86.14,clear sky,-33.3667,116.15,Collie Ridge
454,Pangkalanbuun,ID,76.69,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
460,Noumea,NC,84.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
464,Kismayo,SO,81.54,overcast clouds,-0.3582,42.5454,Agan-Hotel
470,Wattegama,LK,85.12,overcast clouds,6.7989,81.4808,
476,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
483,Sambava,MG,82.36,few clouds,-14.2667,50.1667,Melrose
495,Guaruja,BR,76.15,few clouds,-23.9931,-46.2564,Charme Hotel Guarujá
505,Moranbah,AU,89.8,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
523,Kapoeta,SS,86.05,few clouds,4.7717,33.5903,Eastgate Hotel
524,Wellington,NZ,76.77,overcast clouds,-41.2866,174.7756,CityLife Wellington
536,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
538,Pedernales,DO,75.83,few clouds,18.0384,-71.744,Hotel Costa Marina
543,Mae Sai,TH,82.89,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
544,Candolim,IN,77.0,few clouds,15.5181,73.7626,Resort Terra Paraiso
549,Guarapari,BR,76.89,moderate rain,-20.6667,-40.4975,Hotel Porto do Sol
558,Cairns,AU,89.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
562,Gulu,UG,78.71,broken clouds,2.7746,32.299,ACHOLI INN
565,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
